;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
112254;malongo;2;x;113333;119197.0;4;1;3.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112266;malongo;2;x;113333;119209.0;4;3;7.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112273;malongo;2;x;113333;119216.0;1;1;3.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;350.0;350.0
112284;malongo;2;x;113333;119227.0;1;3;8.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112288;malongo;2;x;113333;119231.0;1;4;2.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112295;malongo;2;x;113333;119238.0;5;1;3.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112306;malongo;2;x;113333;119249.0;5;3;8.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112308;malongo;2;x;113333;119251.0;5;4;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;150.0;150.0
112317;malongo;2;x;113333;119260.0;6;1;3.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112328;malongo;2;x;113333;119271.0;6;3;8.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112332;malongo;2;x;113333;119275.0;6;4;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112340;malongo;2;x;113333;119283.0;7;1;3.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112351;malongo;2;x;113333;119294.0;7;3;8.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112372;malongo;2;x;113333;119315.0;3;1;3.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112388;malongo;2;x;113333;119331.0;3;3;12.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112392;malongo;2;x;113333;119335.0;3;4;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;70.0;70.0
112400;malongo;2;x;113333;119343.0;2;1;2.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112413;malongo;2;x;113333;119356.0;2;3;10.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;160.0;160.0
112421;x;2;x;113346;119364.0;2;1;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
112438;x;1;x;113346;119381.0;6;1;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
112461;x;1;x;113346;119405.0;3;1;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
112469;x;1;x;113346;119413.0;3;3;2.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
112475;x;1;x;113346;119419.0;4;1;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
112496;x;1;x;113346;119441.0;5;1;1.0;34;99;18004;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
