;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
57228;benco;1;chocolat instantané en granulés sucré;111991;60585.0;7;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57267;benco;1;chocolat instantané en granulés sucré;111991;60626.0;4;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57298;benco;1;chocolat instantané en granulés sucré;111991;60658.0;1;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57334;benco;1;chocolat instantané en granulés sucré;111991;60694.0;2;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57368;benco;1;chocolat instantané en granulés sucré;111991;60728.0;3;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57403;benco;1;chocolat instantané en granulés sucré;111991;60764.0;6;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57442;benco;1;chocolat instantané en granulés sucré;111991;60803.0;5;1;2.0;35;1;18105;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
57645;lipton;2;x;111993;61007.0;6;1;1.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57656;lipton;2;x;111993;61018.0;6;3;7.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57664;lipton;2;x;111993;61026.0;3;1;1.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57675;lipton;3;x;111993;61037.0;3;3;7.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57689;lipton;2;x;111993;61051.0;7;1;1.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57701;lipton;2;x;111993;61063.0;7;3;8.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57714;lipton yellow;2;x;111993;61076.0;1;1;1.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57723;lipton;2;x;111993;61085.0;1;3;5.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57736;lipton;2;x;111993;61098.0;2;1;1.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57755;lipton;2;x;111993;61119.0;5;1;1.0;35;3;18020;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
