;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
57229;wattwiller;1;x;111991;60586.0;7;1;3.0;31;1;76059;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57246;roche des écrins;1;x;111991;60603.0;7;3;14.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
57260;roche des écrins;1;x;111991;60619.0;7;5;12.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;120.0;120.0
57268;wattwiller;1;x;111991;60627.0;4;1;3.0;31;1;76059;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57282;floralies;1;x;111991;60641.0;4;3;12.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57293;floralies;1;x;111991;60653.0;4;5;9.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57299;wattwiller;1;x;111991;60659.0;1;1;3.0;31;1;76059;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57312;floralies;1;x;111991;60672.0;1;3;10.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;150.0;150.0
57329;cristaline;1;x;111991;60689.0;1;5;9.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;450.0;450.0
57335;wattwiller;1;x;111991;60695.0;2;1;3.0;31;1;76059;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57347;cristaline;1;x;111991;60707.0;2;3;7.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;150.0;150.0
57364;cristaline;1;x;111991;60724.0;2;5;10.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57369;volvic;1;x;111991;60729.0;3;1;3.0;31;1;76057;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57382;volvic;1;x;111991;60742.0;3;3;9.0;31;1;76057;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57389;volvic;1;x;111991;60749.0;3;3;16.0;31;1;76057;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57399;volvic;1;x;111991;60760.0;3;5;8.0;31;1;76057;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57404;casino;1;x;111991;60765.0;6;1;3.0;31;4;18008;0.0;0.0;1.0;0.0;0.0;4.0;250.0;250.0
57421;casino;1;x;111991;60782.0;6;3;14.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;120.0;120.0
57438;wattwiller;1;x;111991;60799.0;6;5;11.0;31;1;76059;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
57443;floralies;1;x;111991;60804.0;5;1;3.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
57459;volvic;1;x;111991;60820.0;5;3;13.0;31;1;76057;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57471;casino;1;x;111991;60833.0;5;5;9.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;360.0;360.0
57499;cora source st pierre;1;x;111992;60861.0;5;5;7.0;31;2;18046;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57501;x;3;x;111992;60863.0;5;5;9.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57504;x;3;x;111992;60866.0;5;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57515;x;3;x;111992;60877.0;2;3;9.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57526;x;3;x;111992;60888.0;2;5;8.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57529;x;3;x;111992;60891.0;2;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57543;x;3;x;111992;60905.0;6;3;11.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57551;x;3;x;111992;60913.0;6;5;6.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57552;x;3;x;111992;60914.0;6;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57565;x;3;x;111992;60927.0;7;3;11.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57573;x;3;x;111992;60935.0;7;5;5.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57577;x;3;x;111992;60939.0;7;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57587;x;3;x;111992;60949.0;1;3;7.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;600.0;600.0
57594;x;3;x;111992;60956.0;1;4;2.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57598;x;3;x;111992;60960.0;1;5;4.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57600;x;3;x;111992;60962.0;1;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57612;x;3;x;111992;60974.0;4;3;10.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57621;x;3;x;111992;60983.0;4;5;7.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57623;x;3;x;111992;60985.0;4;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57631;x;3;x;111992;60993.0;3;3;5.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57642;x;3;x;111992;61004.0;3;5;9.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57644;x;3;x;111992;61006.0;3;6;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57658;thonon;1;x;111993;61020.0;6;3;9.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57674;x;3;x;111993;61036.0;3;3;6.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;750.0;750.0
57686;thonon;1;x;111993;61048.0;3;5;6.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;1200.0;1200.0
57711;thonon;1;x;111993;61073.0;7;5;7.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;800.0;800.0
57726;thonon;1;x;111993;61088.0;1;3;8.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57734;thonon;1;x;111993;61096.0;1;5;6.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;800.0;800.0
57745;x;3;x;111993;61107.0;2;3;5.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;750.0;750.0
57752;thonon;1;x;111993;61116.0;2;5;5.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;800.0;800.0
57780;thonon;1;x;111993;61144.0;5;5;6.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57799;x;3;x;111993;61163.0;4;3;11.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
57809;thonon;1;x;111993;61173.0;4;5;7.0;31;1;76050;0.0;0.0;0.0;0.0;1.0;4.0;400.0;400.0
57814;x;3;x;111994;61178.0;6;2;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
57815;x;3;x;111994;61179.0;6;3;1.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
57828;x;3;x;111994;61192.0;6;5;3.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
57834;floralies;1;x;111994;61198.0;3;2;1.0;31;4;18008;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
57838;x;3;x;111994;61202.0;3;3;4.0;31;3;18066;0.0;0.0;0.0;0.0;1.0;4.0;120.0;120.0
