;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
61534;x;1;x;112104;65532.0;3;4;1.0;33;3;5003;0.0;0.0;0.0;0.0;1.0;4.0;100.0;100.0
61566;x;1;x;112111;65564.0;6;5;1.0;33;5;42;0.0;0.0;0.0;0.0;1.0;1.0;150.0;150.0
61695;x;3;x;112111;65693.0;5;5;1.0;33;1;5207;0.0;0.0;0.0;0.0;1.0;;200.0;200.0
62168;x;3;x;112117;66179.0;4;5;1.0;33;4;90152;0.0;0.0;0.0;0.0;1.0;4.0;50.0;50.0
62170;sauterre;3;x;112117;66181.0;4;5;3.0;33;1;5200;0.0;0.0;0.0;0.0;1.0;4.0;100.0;100.0
62221;verclos;3;x;112128;66237.0;5;3;4.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62236;verclos;3;x;112128;66252.0;5;5;5.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62249;verclos;3;x;112128;66265.0;2;3;4.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;75.0;75.0
62262;verclos;3;x;112128;66278.0;2;5;4.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;75.0;75.0
62276;x;3;x;112128;66292.0;6;3;4.0;33;1;5210;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62291;x;3;x;112128;66307.0;6;5;6.0;33;1;5203;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62303;verclos;3;x;112128;66319.0;7;3;4.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62317;x;3;x;112128;66335.0;7;5;6.0;33;1;5203;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62331;verclos;3;x;112128;66349.0;1;3;5.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;75.0;75.0
62347;verclos;3;x;112128;66365.0;1;5;6.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;75.0;75.0
62359;x;3;x;112128;66377.0;4;3;4.0;33;1;5203;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62371;x;3;x;112128;66390.0;4;5;4.0;33;1;5203;0.0;0.0;0.0;0.0;1.0;4.0;165.0;165.0
62385;verclos;3;x;112128;66404.0;3;3;4.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;75.0;75.0
62397;x;3;x;112128;66416.0;3;5;4.0;33;1;5203;0.0;0.0;0.0;0.0;1.0;4.0;75.0;75.0
62412;gamerié;3;x;112130;66431.0;2;3;9.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62419;gamerié;3;x;112130;66438.0;2;5;3.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62431;gamerié;3;x;112130;66450.0;6;3;9.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62437;gamerié;3;x;112130;66456.0;6;5;4.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62448;gamerié;3;x;112130;66467.0;3;3;8.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62453;gamerié;3;x;112130;66472.0;3;5;3.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;180.0;180.0
62464;gamerié;3;x;112130;66483.0;4;3;8.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62469;gamerié;3;x;112130;66488.0;4;5;3.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62478;gamerié;3;x;112130;66497.0;5;3;6.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62482;x;3;x;112130;66501.0;5;4;4.0;33;1;5203;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62495;gamerié;3;x;112130;66514.0;1;3;9.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62500;gamerié;3;x;112130;66519.0;1;5;2.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62511;gamerié;3;x;112130;66530.0;7;3;8.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62518;gamerié;3;x;112130;66537.0;7;5;4.0;33;1;5204;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62682;bien vu;1;x;112135;66844.0;1;3;1.0;33;5;1010;0.0;0.0;0.0;0.0;1.0;4.0;240.0;240.0
62690;muscadet;3;x;112135;66852.0;1;3;9.0;33;1;5200;0.0;0.0;0.0;0.0;1.0;4.0;225.0;225.0
62691;fitou côtes du rhône;3;x;112135;66853.0;1;3;10.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;300.0;300.0
62725;kanterbrau;1;x;112135;66888.0;3;3;2.0;33;2;5001;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
62737;kanterbrau;1;x;112135;66900.0;4;3;3.0;33;2;5001;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
62759;cellier des dauphins;3;x;112135;66922.0;7;5;4.0;33;1;5205;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
62781;x;3;x;112136;66944.0;6;3;3.0;33;1;5207;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
62790;x;3;x;112136;66953.0;6;3;12.0;33;1;5208;0.0;0.0;0.0;0.0;1.0;4.0;100.0;100.0
62791;x;3;x;112136;66954.0;6;3;13.0;33;1;5210;0.0;0.0;0.0;0.0;1.0;4.0;150.0;150.0
62813;x;3;x;112136;66978.0;3;3;2.0;33;1;5206;0.0;0.0;0.0;0.0;1.0;4.0;125.0;125.0
