;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
70176;x;1;x;112283;74816.0;4;3;4.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70226;x;1;x;112286;74871.0;4;3;9.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70232;x;1;x;112286;74877.0;4;5;4.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70254;x;1;x;112286;74899.0;1;5;6.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70276;x;1;x;112286;74921.0;2;5;9.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70339;x;1;x;112286;74984.0;5;5;5.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70511;u;1;x;112294;75156.0;6;5;4.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;30.0;30.0
70524;ferrero nutella;1;x;112294;75169.0;7;4;3.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;2.0;20.0;20.0
70585;x;1;x;112294;75230.0;3;4;3.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70642;ferrero rocher;1;x;112303;75287.0;6;3;10.0;29;1;31018;0.0;0.0;0.0;0.0;1.0;4.0;12.5;12.5
70663;ferrero rocher;1;x;112303;75308.0;3;3;8.0;29;1;31018;0.0;0.0;0.0;0.0;1.0;4.0;12.5;12.5
70783;mon bana;1;x;112304;75428.0;5;3;23.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70796;x;1;x;112304;75442.0;2;2;3.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70803;x;1;x;112304;75449.0;2;3;7.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70836;mon bana;1;x;112304;75483.0;6;3;20.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
70850;x;1;x;112304;75499.0;6;5;13.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70871;mon bana;1;x;112304;75521.0;7;5;12.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70882;x;1;x;112304;75532.0;1;2;3.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70891;x;1;x;112304;75541.0;1;3;9.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
70923;mon bana;1;x;112304;75574.0;4;3;15.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70930;mon bana;1;x;112304;75581.0;4;4;4.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70952;mon bana;1;x;112304;75603.0;4;5;22.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70961;x;1;x;112304;75615.0;3;2;3.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70969;mon bana;1;x;112304;75623.0;3;3;8.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
70977;x;3;x;112304;75633.0;3;5;6.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;42.0;42.0
72001;nuts;1;x;112319;76766.0;1;6;1.0;29;2;31071;0.0;0.0;0.0;0.0;1.0;4.0;50.0;50.0
72102;ferrero nutella;1;x;112319;76869.0;3;5;7.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;30.0;30.0
72148;x;1;x;112323;76915.0;6;3;8.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
72194;x;3;x;112323;76961.0;7;3;5.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
72360;x;3;x;112325;77127.0;4;3;8.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
72801;poulain;1;x;112327;77573.0;5;6;1.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
72835;poulain;1;x;112327;77607.0;6;6;1.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
72871;poulain;1;x;112327;77643.0;2;6;1.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
72906;poulain;1;x;112327;77678.0;1;6;1.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
73090;x;1;x;112337;77862.0;2;3;14.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;1.0;3.0;3.0
73125;x;1;x;112337;77898.0;3;4;6.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
73153;ferrero nutella;1;x;112337;77928.0;4;5;6.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
73205;ferrero nutella;1;x;112339;77980.0;4;1;2.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
73217;x;1;x;112339;77994.0;4;4;2.0;29;1;31070;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
73229;ferrero nutella;1;x;112339;78006.0;1;1;6.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
73238;kinder bueno;1;x;112339;78016.0;1;4;1.0;29;1;31018;0.0;0.0;0.0;0.0;1.0;4.0;43.0;43.0
73289;bounty;1;x;112339;78068.0;3;4;2.0;29;2;31002;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
73290;kinder;1;x;112339;78069.0;3;4;3.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
73299;champion;1;x;112339;78078.0;3;6;6.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
73310;x;1;x;112339;78090.0;6;4;1.0;29;1;31018;0.0;0.0;1.0;0.0;0.0;4.0;10.0;10.0
73348;x;8;x;112340;78128.0;6;3;12.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;;21.0;21.0
73458;casino;1;x;112340;78243.0;2;3;10.0;29;1;677;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
73546;poulain;1;x;112341;78333.0;7;6;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
73601;poulain;1;x;112341;78391.0;1;6;1.0;29;1;31030;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
73830;cadbury;1;x;112343;78626.0;6;6;2.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;40.0;40.0
73895;x;1;x;112343;78692.0;3;5;19.0;29;1;677;0.0;0.0;0.0;0.0;1.0;4.0;13.0;13.0
73919;duc d'o;1;x;112343;78716.0;2;5;15.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;30.0;30.0
74175;x;3;x;112349;78976.0;1;6;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
74255;mendiants;1;x;112350;79056.0;1;3;5.0;29;1;31018;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
74260;mendiants;1;x;112350;79061.0;1;6;2.0;29;1;31018;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
74414;poulain;1;x;112359;79474.0;1;5;3.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
74734;rozan;1;x;112364;79808.0;2;4;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;8.0;8.0
74772;rozan;1;x;112364;79847.0;6;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;8.0;8.0
74799;rozan;1;x;112364;79876.0;3;4;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;16.0;16.0
74830;rozan;1;x;112364;79907.0;4;4;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;8.0;8.0
74843;rozan;1;x;112364;79920.0;4;6;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;8.0;8.0
74865;rozan;1;x;112364;79942.0;5;4;3.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;16.0;16.0
74902;rozan;1;x;112364;79979.0;1;4;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;24.0;24.0
74931;rozan;1;x;112364;80010.0;7;4;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;16.0;16.0
74948;ferrero nutella;1;x;112365;80027.0;5;1;5.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;120.0;120.0
74962;ferrero nutella;1;x;112365;80041.0;2;1;5.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;60.0;60.0
75003;ferrero nutella;1;x;112365;80083.0;7;1;5.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;60.0;60.0
75039;ferrero nutella;1;x;112365;80119.0;4;1;5.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;60.0;60.0
75060;ferrero nutella;1;x;112365;80143.0;3;1;5.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;60.0;60.0
75188;x;1;x;112370;80543.0;7;6;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
75219;x;1;x;112370;80574.0;4;6;1.0;29;1;31004;0.0;1.0;0.0;0.0;0.0;4.0;5.0;5.0
75272;x;1;x;112370;80627.0;2;6;1.0;29;2;31001;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
75306;x;1;x;112370;80661.0;3;6;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
75332;x;1;x;112370;80689.0;6;6;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
75369;x;1;x;112370;80726.0;5;6;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;40.0;40.0
75378;lidl;1;x;112374;80735.0;1;1;8.0;29;3;31032;0.0;0.0;1.0;0.0;0.0;2.0;10.0;10.0
75392;ferrero nutella;1;x;112374;80749.0;1;5;7.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;2.0;10.0;10.0
75432;la maison du praliné;1;x;112374;80789.0;2;6;1.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
75475;la maison du praliné;1;x;112374;80832.0;4;6;1.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
75611;casino;1;x;112378;80968.0;2;3;11.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
75672;casino;1;x;112378;81029.0;3;3;11.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
75702;casino;1;x;112378;81059.0;4;3;10.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
75800;casino;1;x;112378;81157.0;7;3;8.0;29;1;31005;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76179;snickers;1;x;112387;81543.0;2;2;1.0;29;2;31071;0.0;0.0;0.0;0.0;1.0;4.0;50.0;50.0
76244;lindt pyrénéen;1;x;112387;81611.0;5;2;1.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76276;x;1;x;112388;81643.0;6;6;1.0;29;2;31001;0.0;0.0;0.0;0.0;1.0;4.0;28.0;28.0
76462;kinder;1;x;112389;81831.0;1;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;12.5;12.5
76508;ferrero nutella;1;x;112392;81877.0;7;1;4.0;29;3;31032;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
76516;x;1;x;112392;81885.0;7;3;7.0;29;2;31071;0.0;0.0;0.0;0.0;1.0;4.0;60.0;60.0
76541;lornet;3;x;112392;81914.0;4;3;10.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
76592;marque repère tablette d'or;1;x;112392;81967.0;2;3;10.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
76814;harry's doo wap;1;x;112394;82193.0;6;3;5.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76819;choco softies;1;x;112394;82198.0;3;1;3.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76826;choco softies;1;x;112394;82205.0;3;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76833;harry's doo wap;1;x;112394;82212.0;7;1;3.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76849;chocosofties;1;x;112394;82228.0;1;3;5.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
76861;x;1;x;112394;82240.0;2;3;6.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;8.0;8.0
76874;harry's doo wap;1;x;112394;82253.0;5;3;4.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
77064;milka;1;x;112396;82445.0;2;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
77272;x;1;x;112409;82734.0;4;6;1.0;29;2;31002;0.0;0.0;0.0;0.0;1.0;4.0;50.0;50.0
77277;x;1;x;112409;82739.0;5;4;1.0;29;2;31002;0.0;0.0;0.0;0.0;1.0;4.0;50.0;50.0
77506;x;1;x;112422;82973.0;3;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
77608;x;1;x;112422;83078.0;4;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
77808;côte d'or;1;x;112434;83283.0;2;5;8.0;29;1;31070;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
77861;x;1;x;112434;83336.0;4;4;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
77879;x;1;x;112434;83354.0;7;2;2.0;29;1;31004;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
77949;cémoi;1;x;112438;83426.0;6;3;14.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;16.0;16.0
77964;cémoi;1;x;112438;83441.0;6;5;9.0;29;1;673;0.0;0.0;0.0;0.0;1.0;4.0;16.0;16.0
