;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
34511;x;2;x;111367;36490.0;1;1;6.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;2.0;20.0;20.0
34544;x;2;x;111367;36523.0;5;1;5.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;2.0;40.0;40.0
34583;x;1;x;111367;36562.0;2;3;;30;1;81052;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
34603;x;2;x;111367;36582.0;3;1;5.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;4.0;40.0;40.0
34627;x;2;x;111367;36606.0;4;1;5.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;2.0;40.0;40.0
34664;x;2;x;111367;36643.0;7;1;6.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;2.0;20.0;20.0
34690;x;2;x;111367;36669.0;6;1;5.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;2.0;40.0;40.0
34708;x;1;x;111367;36689.0;6;5;;30;1;81052;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
34710;x;1;x;111368;36691.0;3;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34717;x;1;x;111368;36698.0;3;4;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34726;x;1;x;111368;36707.0;7;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34731;x;1;x;111368;36712.0;7;4;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34735;x;1;x;111368;36716.0;4;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34743;x;1;x;111368;36724.0;5;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34751;x;1;x;111368;36732.0;6;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34760;x;1;x;111368;36741.0;2;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34772;x;1;x;111368;36753.0;2;4;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34779;x;1;x;111368;36760.0;2;5;7.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34782;x;1;x;111368;36763.0;1;1;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34785;x;1;x;111368;36766.0;1;2;;30;1;81052;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34791;x;1;x;111368;36772.0;1;3;6.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
34866;x;1;x;111370;36848.0;4;5;7.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
34911;x;2;x;111372;36896.0;1;1;4.0;30;3;31006;0.0;0.0;0.0;0.0;1.0;2.0;90.0;90.0
35026;saint louis;1;x;111381;37013.0;5;1;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35028;x;1;x;111381;37015.0;5;2;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
35042;x;1;x;111381;37029.0;5;6;;30;1;81052;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
35047;saint louis;1;x;111381;37034.0;2;1;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35049;x;1;x;111381;37036.0;2;2;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;30.0;30.0
35056;x;1;x;111381;37043.0;2;3;7.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35067;x;1;x;111381;37055.0;2;6;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35072;saint louis;1;x;111381;37060.0;6;1;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35074;x;1;x;111381;37062.0;6;2;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35081;x;1;x;111381;37069.0;6;3;7.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35090;saint louis;1;x;111381;37079.0;6;6;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35095;saint louis;1;x;111381;37084.0;7;1;4.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35107;saint louis;1;x;111381;37096.0;1;1;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35109;x;1;x;111381;37098.0;1;2;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35118;x;1;x;111381;37107.0;1;3;9.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35126;x;1;x;111381;37116.0;1;6;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35131;saint louis;1;x;111381;37121.0;4;1;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35138;saint louis;1;x;111381;37128.0;4;3;7.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35148;saint louis;1;x;111381;37138.0;4;6;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35154;saint louis;1;x;111381;37144.0;3;1;5.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;15.0;15.0
35156;x;1;x;111381;37146.0;3;2;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;30.0;30.0
35166;x;1;x;111381;37156.0;3;3;10.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
35178;tutti free;1;x;111383;37170.0;4;1;3.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35181;tutti free;1;x;111383;37173.0;4;2;2.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35187;tutti free;1;x;111383;37179.0;4;3;6.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35192;tutti free;1;x;111383;37184.0;4;4;2.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;4.2;4.2
35195;lidl;1;x;111383;37187.0;4;5;3.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;20.0;20.0
35200;tutti free;1;x;111383;37194.0;1;1;3.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35203;tutti free;1;x;111383;37197.0;1;2;2.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;4.2;4.2
35209;tutti free;1;x;111383;37203.0;1;3;6.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35221;tutti free;1;x;111383;37216.0;5;1;3.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35231;tutti free;1;x;111383;37226.0;5;3;8.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35243;tutti free;1;x;111383;37238.0;6;1;3.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35247;x;1;x;111383;37242.0;6;2;2.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;10.0;10.0
35251;x;1;x;111383;37246.0;6;3;4.0;30;1;31016;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
35253;tutti free;1;x;111383;37248.0;6;4;2.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
35261;tutti free;1;x;111383;37256.0;7;1;3.0;30;1;31076;0.0;1.0;0.0;0.0;0.0;4.0;1.4;1.4
