;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
430730;x;2;x;241798;448117.0;7;5;1.0;38;2;25909;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
430787;x;2;x;241798;448176.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
430986;x;2;x;241814;448386.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
431130;x;2;x;241817;448543.0;2;5;1.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;1.0;100.0;100.0
431298;x;2;x;241823;448718.0;1;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
431323;x;2;x;241823;448743.0;2;5;3.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
431691;x;2;x;241836;449123.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;450.0;450.0
431711;x;2;x;241836;449143.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;450.0;450.0
432138;x;2;x;241849;449574.0;5;5;2.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
449248;x;2;x;243152;467158.0;6;5;1.0;38;1;25917;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
450318;x;2;x;243198;468251.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
450349;x;2;x;243198;468283.0;6;5;2.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
450408;x;2;x;243198;468342.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
452987;x;2;x;243289;471045.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
485329;x;2;x;245404;504462.0;2;5;1.0;38;1;25902;0.0;0.0;1.0;0.0;0.0;1.0;300.0;300.0
485340;x;2;x;245404;504475.0;3;5;1.0;38;1;25902;0.0;0.0;1.0;0.0;0.0;1.0;300.0;300.0
485502;x;2;x;245408;504643.0;5;5;3.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
485509;x;2;x;245408;504650.0;6;3;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
485596;x;2;x;245419;504743.0;1;5;2.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;2.0;600.0;600.0
485638;x;2;x;245425;504788.0;2;5;3.0;38;1;25900;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
485644;x;2;x;245425;504794.0;6;5;3.0;38;1;25900;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
485652;x;2;x;245425;504802.0;1;5;4.0;38;1;25900;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
485796;liebig;1;x;245431;504950.0;2;5;1.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;4.0;250.0;250.0
485832;liebig;1;velouté de poireaux pomme de terre;245431;504989.0;3;5;1.0;38;1;25907;0.0;0.0;0.0;0.0;1.0;4.0;300.0;300.0
485876;x;2;x;245431;505034.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
485917;liebig;1;x;245431;505077.0;7;5;1.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
526762;x;2;x;246891;547326.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
526810;x;2;x;246891;547374.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
527026;x;2;x;246892;547595.0;3;5;1.0;38;1;25900;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
527091;x;2;x;246893;547660.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
527137;x;2;x;246893;547706.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
527177;x;2;x;246893;547746.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
527234;x;2;x;246896;547803.0;5;5;1.0;38;1;25902;1.0;1.0;0.0;0.0;0.0;1.0;300.0;300.0
527260;x;2;x;246896;547832.0;6;5;1.0;38;1;25908;0.0;0.0;0.0;0.0;1.0;4.0;300.0;300.0
527323;x;2;x;246897;547897.0;6;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
527559;knorr;1;x;246907;548153.0;1;4;2.0;38;2;25947;0.0;0.0;0.0;0.0;1.0;4.0;300.0;300.0
527607;knorr;1;x;246907;548203.0;2;5;1.0;38;2;25947;0.0;0.0;0.0;0.0;1.0;4.0;300.0;300.0
527704;liebig;1;x;246924;548308.0;2;5;1.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;4.0;200.0;200.0
527903;x;2;x;246939;548510.0;1;5;1.0;38;1;25914;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
527924;x;2;x;246939;548532.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
527962;x;2;x;246939;548570.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
527998;x;2;x;246940;548607.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;100.0;100.0
528011;x;2;x;246940;548620.0;5;3;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;100.0;100.0
528042;x;2;x;246940;548652.0;3;5;3.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
528219;x;2;x;246944;548840.0;3;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
528258;x;1;x;246944;548880.0;5;5;5.0;38;1;25904;0.0;0.0;0.0;0.0;1.0;2.0;200.0;200.0
528316;x;2;x;246948;548940.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
528339;x;2;x;246948;548964.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
528372;x;2;x;246948;548998.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
528405;x;2;x;246948;549032.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
528642;x;2;x;246954;549276.0;3;5;1.0;38;1;25945;0.0;0.0;0.0;0.0;1.0;1.0;350.0;350.0
528668;x;2;x;246954;549302.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
528699;x;2;x;246957;549339.0;6;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
528769;x;2;x;246957;549414.0;2;5;7.0;38;2;25946;0.0;0.0;0.0;0.0;1.0;1.0;20.0;20.0
533158;x;2;x;255693;553937.0;4;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
533214;x;2;x;255693;553993.0;2;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;400.0;400.0
534467;marque repère régal;1;x;257125;555304.0;1;5;2.0;38;1;25903;0.0;0.0;0.0;0.0;1.0;4.0;300.0;300.0
538787;x;1;x;264204;559790.0;1;5;2.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;2.0;300.0;300.0
538789;maggi;1;x;264204;559792.0;1;5;4.0;38;2;25947;0.0;0.0;0.0;0.0;1.0;4.0;100.0;100.0
538871;x;2;x;264204;559877.0;7;5;1.0;38;1;25917;0.0;0.0;0.0;0.0;1.0;1.0;500.0;500.0
541438;x;2;x;267394;562548.0;1;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
541456;x;2;x;267394;562568.0;5;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
541491;x;2;x;267394;562606.0;7;5;1.0;38;1;25902;0.0;0.0;0.0;0.0;1.0;1.0;250.0;250.0
541520;x;1;x;267394;562635.0;2;5;1.0;38;1;25914;0.0;0.0;0.0;0.0;1.0;1.0;300.0;300.0
