;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
120324;x;2;x;113543;128063.0;5;3;6.0;1;1;7200;0.0;0.0;0.0;0.0;1.0;1.0;35.0;35.0
120336;x;3;x;113543;128075.0;5;5;2.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;120.0;120.0
120347;x;2;x;113543;128086.0;2;3;7.0;1;1;7200;0.0;0.0;0.0;0.0;1.0;1.0;35.0;35.0
120356;x;3;x;113543;128095.0;2;5;3.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;60.0;60.0
120376;x;2;x;113543;128115.0;7;3;2.0;1;1;7200;0.0;0.0;0.0;0.0;1.0;1.0;70.0;70.0
120391;x;2;x;113543;128130.0;1;5;2.0;1;1;7200;0.0;0.0;0.0;0.0;1.0;1.0;70.0;70.0
120397;x;3;x;113543;128136.0;4;3;2.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;60.0;60.0
120407;x;3;x;113543;128146.0;4;5;8.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;120.0;120.0
120411;x;3;x;113543;128150.0;3;3;2.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;60.0;60.0
120429;x;3;x;113556;128168.0;4;3;6.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;30.0;30.0
120452;x;8;x;113556;128191.0;1;3;10.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;60.0;60.0
120462;x;8;x;113556;128201.0;1;5;8.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120481;x;8;x;113556;128220.0;5;5;5.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120500;x;8;x;113556;128239.0;6;3;7.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;30.0;30.0
120513;x;8;x;113556;128252.0;6;5;5.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120528;x;8;x;113556;128267.0;7;3;5.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120557;x;8;x;113556;128296.0;3;3;8.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120570;auga;1;x;113556;128309.0;2;1;4.0;1;2;7300;0.0;0.0;0.0;0.0;1.0;4.0;5.0;5.0
120580;x;8;x;113556;128319.0;2;3;8.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120597;x;8;x;113562;128336.0;2;3;5.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;90.0;90.0
120608;x;8;x;113562;128348.0;2;5;4.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;25.0;25.0
120615;x;8;x;113562;128355.0;6;1;2.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;25.0;25.0
120620;x;8;x;113562;128360.0;6;3;1.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
120637;x;1;x;113562;128377.0;6;5;9.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;23.0;23.0
120647;x;1;x;113562;128387.0;3;1;4.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;25.0;25.0
120654;x;8;x;113562;128394.0;3;3;4.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;30.0;30.0
120676;x;8;x;113562;128416.0;4;1;3.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;25.0;25.0
120680;x;8;x;113562;128420.0;4;3;1.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;100.0;100.0
120699;x;8;x;113562;128439.0;5;1;3.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;25.0;25.0
120734;x;8;x;113562;128474.0;1;5;3.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;;30.0;30.0
120751;x;8;x;113562;128492.0;7;5;3.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;30.0;30.0
120839;x;3;x;113566;128580.0;5;1;3.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;60.0;60.0
120846;x;3;x;113566;128587.0;5;3;5.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;60.0;60.0
120852;x;3;x;113566;128593.0;5;5;5.0;1;1;7001;0.0;0.0;0.0;0.0;1.0;1.0;60.0;60.0
