;libmarq;typal3;nom_commercial;nomen;numlig;nojour;tyrep;noligne;codgr;sougr;codal;algra;alsuc;enric;diete;rien;typal2;qte_brute;qte_nette
11;thiriet;1;x;110006;12.0;6;3;8.0;23;5;20017;0.0;0.0;0.0;0.0;1.0;3.0;25.0;25.0
13;thiriet;1;x;110006;14.0;6;3;10.0;23;3;20088;0.0;0.0;0.0;0.0;1.0;3.0;25.0;25.0
14;thiriet;1;x;110006;15.0;6;3;11.0;23;1;20035;0.0;0.0;0.0;0.0;1.0;3.0;25.0;25.0
15;thiriet;1;x;110006;16.0;6;3;12.0;23;3;20066;0.0;0.0;0.0;0.0;1.0;3.0;25.0;25.0
18;marque repère;1;x;110006;20.0;6;5;2.0;23;2;92044;0.0;0.0;0.0;0.0;1.0;1.0;30.0;30.0
30;x;2;x;110006;32.0;3;3;2.0;23;7;20071;0.0;0.0;0.0;0.0;1.0;3.0;138.0;138.0
39;x;2;x;110006;41.0;3;5;2.0;23;7;20071;0.0;0.0;0.0;0.0;1.0;3.0;138.0;138.0
50;x;1;x;110006;52.0;7;3;2.0;23;7;20030;0.0;0.0;0.0;0.0;1.0;4.0;138.0;138.0
73;x;3;x;110006;77.0;1;5;1.0;23;3;20047;0.0;0.0;0.0;0.0;1.0;1.0;100.0;100.0
119;marque repère notre jardin;1;x;110006;123.0;4;3;2.0;23;8;20101;0.0;0.0;0.0;0.0;1.0;3.0;100.0;100.0
134;x;2;x;110006;138.0;4;5;5.0;23;2;92044;0.0;0.0;0.0;0.0;1.0;1.0;40.0;40.0
154;x;2;x;110007;158.0;7;5;2.0;23;3;13004;0.0;0.0;0.0;0.0;1.0;1.0;150.0;135.0
176;x;3;x;110007;180.0;4;5;3.0;23;2;25604;0.0;0.0;0.0;0.0;1.0;1.0;40.0;40.0
188;x;3;x;110007;192.0;1;3;2.0;23;2;20031;0.0;0.0;0.0;0.0;1.0;1.0;40.0;40.0
208;x;2;x;110007;212.0;2;3;2.0;23;7;20030;0.0;0.0;0.0;0.0;1.0;1.0;138.0;138.0
226;x;3;x;110007;231.0;3;3;2.0;23;3;20021;0.0;0.0;0.0;0.0;1.0;1.0;175.0;175.0
236;x;3;x;110007;241.0;3;5;1.0;23;2;20098;0.0;0.0;0.0;0.0;1.0;1.0;213.0;213.0
249;x;1;x;110007;254.0;6;3;2.0;23;7;20036;0.0;0.0;0.0;0.0;1.0;2.0;175.0;175.0
262;x;3;x;110007;267.0;6;5;6.0;23;2;25604;0.0;0.0;0.0;0.0;1.0;1.0;40.0;40.0
297;x;2;x;110020;302.0;7;3;6.0;23;8;25018;0.0;0.0;0.0;0.0;1.0;1.0;100.0;100.0
336;x;1;x;110020;343.0;1;5;1.0;23;4;20018;0.0;0.0;0.0;0.0;1.0;2.0;60.0;60.0
358;x;3;x;110020;365.0;2;5;2.0;23;1;20009;0.0;0.0;0.0;0.0;1.0;1.0;200.0;200.0
362;x;3;x;110020;369.0;2;5;6.0;23;2;20099;0.0;0.0;0.0;0.0;1.0;1.0;30.0;30.0
